,age,studytime,failures,score,medu_fedu_mean,mjob_at_home,mjob_health,mjob_other,mjob_services,mjob_teacher,higher_no,higher_yes,romantic_no,romantic_yes
0,18,2.0,0.0,30.0,4.0,1,0,0,0,0,0,1,1,0
1,17,2.0,0.0,30.0,1.0,1,0,0,0,0,0,1,1,0
2,15,2.0,3.0,50.0,1.0,1,0,0,0,0,0,1,1,0
3,15,3.0,0.0,75.0,3.0,0,1,0,0,0,0,1,0,1
4,16,2.0,0.0,50.0,3.0,0,0,1,0,0,0,1,1,0
5,16,2.0,0.0,75.0,4.0,0,0,0,1,0,0,1,1,0
6,16,2.0,0.0,55.0,2.0,0,0,1,0,0,0,1,1,0
7,17,2.0,0.0,30.0,4.0,0,0,1,0,0,0,1,1,0
8,15,2.0,0.0,95.0,2.0,0,0,0,1,0,0,1,1,0
9,15,2.0,0.0,75.0,4.0,0,0,1,0,0,0,1,1,0
10,15,2.0,0.0,45.0,4.0,0,0,0,0,1,0,1,1,0
11,15,3.0,0.0,60.0,3.0,0,0,0,1,0,0,1,1,0
12,15,1.0,0.0,70.0,4.0,0,1,0,0,0,0,1,1,0
13,15,2.0,0.0,55.0,4.0,0,0,0,0,1,0,1,1,0
14,15,3.0,0.0,80.0,2.0,0,0,1,0,0,0,1,0,1
15,16,1.0,0.0,70.0,4.0,0,1,0,0,0,0,1,1,0
16,16,3.0,0.0,70.0,4.0,0,0,0,1,0,0,1,1,0
17,16,2.0,0.0,50.0,3.0,0,0,1,0,0,0,1,1,0
18,17,1.0,3.0,25.0,2.0,0,0,0,1,0,0,1,1,0
19,16,1.0,0.0,50.0,4.0,0,1,0,0,0,0,1,1,0
20,15,2.0,0.0,75.0,4.0,0,0,0,0,1,0,1,1,0
21,15,1.0,0.0,75.0,3.0,0,1,0,0,0,0,1,1,0
22,16,2.0,0.0,80.0,3.0,0,0,0,0,1,0,1,1,0
23,16,2.0,0.0,60.0,2.0,0,0,1,0,0,0,1,1,0
24,15,3.0,0.0,40.0,3.0,0,0,0,1,0,0,1,1,0
25,16,1.0,2.0,40.0,2.0,0,0,0,1,0,0,1,1,0
26,15,1.0,0.0,55.0,2.0,0,0,1,0,0,0,1,1,0
27,15,1.0,0.0,75.0,3.0,0,1,0,0,0,0,1,1,0
28,16,2.0,0.0,55.0,4.0,0,0,0,1,0,0,1,1,0
29,16,2.0,0.0,55.0,4.0,0,0,1,0,0,0,1,0,1
30,15,2.0,0.0,60.0,4.0,0,1,0,0,0,0,1,1,0
31,15,2.0,0.0,85.0,4.0,0,0,0,1,0,0,1,1,0
32,15,2.0,0.0,80.0,4.0,0,0,0,0,1,0,1,0,1
33,15,2.0,0.0,60.0,3.0,0,0,1,0,0,0,1,1,0
34,16,1.0,0.0,75.0,2.0,0,0,1,0,0,0,1,1,0
35,15,1.0,0.0,30.0,2.0,0,0,1,0,0,0,1,1,0
36,15,3.0,0.0,90.0,4.0,0,0,0,0,1,0,1,1,0
37,16,3.0,0.0,75.0,4.0,0,0,1,0,0,0,1,0,1
38,15,3.0,0.0,55.0,4.0,0,0,0,1,0,0,1,1,0
39,15,1.0,0.0,65.0,2.0,1,0,0,0,0,0,1,1,0
40,16,2.0,1.0,55.0,2.0,0,0,1,0,0,0,1,0,1
